id,product_id,customer_id,rating,review_text,reviewed_at
133,83,10073,3,Decent but nothing special.,2020-11-30
134,224,12311,2,Skipped my dietary request.,2020-02-23
135,160,10940,2,Skipped my dietary request.,2024-01-16
136,270,454,5,"Best lunch in town, no contest.",2024-07-23
137,223,4309,5,"Best lunch in town, no contest.",2021-08-05
138,159,10698,5,"Best lunch in town, no contest.",2025-01-17
139,245,1644,4,"Solid flavour, great portion size.",2021-08-12
140,227,10901,4,Five stars all around.,2021-06-05
141,23,14880,4,Reliable as always — never disappoints.,2022-10-11
142,130,572,4,Five stars all around.,2025-08-25
143,16,3334,3,Fine for a quick bite.,2025-06-10
144,33,2409,4,Absolutely loved this. Will order again.,2020-07-06
145,214,6054,5,Fresh ingredients and prompt service.,2020-08-14
146,246,12183,3,"Standard fare, fairly priced.",2024-07-18
147,32,2588,1,Disappointing portion for the price.,2023-07-15
148,144,6310,4,Reliable as always — never disappoints.,2021-05-18
149,124,11582,5,Reliable as always — never disappoints.,2021-01-09
150,41,11331,4,Five stars all around.,2020-11-22
151,184,3288,3,Average — would order again only if nearby.,2021-03-26
152,196,5164,2,Disappointing portion for the price.,2021-04-16
153,111,2340,4,"Solid flavour, great portion size.",2024-02-23
154,115,1015,5,"Solid flavour, great portion size.",2021-08-28
155,208,13590,2,"Slow service, mediocre food.",2023-01-31
156,54,6908,2,"Slow service, mediocre food.",2025-05-24
157,5,8784,2,Not what I expected from the photos.,2023-05-03
158,119,2653,2,Not what I expected from the photos.,2023-09-02
159,209,4011,2,Disappointing portion for the price.,2025-10-06
160,201,12510,5,"Best lunch in town, no contest.",2023-07-20
161,135,14368,4,"Best lunch in town, no contest.",2020-12-21
162,24,12249,2,Disappointing portion for the price.,2022-04-06
163,5,5503,5,Five stars all around.,2022-10-19
164,190,2993,5,"Best lunch in town, no contest.",2021-07-07
165,165,221,4,Five stars all around.,2022-10-20
166,134,5399,5,Five stars all around.,2022-12-20
167,66,9700,3,Decent but nothing special.,2020-01-09
168,66,13238,3,"Good on most days, off-days exist.",2021-02-05
169,134,6576,5,Five stars all around.,2025-05-05
170,272,3227,1,Not what I expected from the photos.,2022-11-19
171,288,13875,1,Skipped my dietary request.,2020-09-24
172,294,10849,2,Cold by the time it arrived.,2020-05-26
173,250,12386,4,Reliable as always — never disappoints.,2021-11-12
174,288,2063,5,"Solid flavour, great portion size.",2023-11-26
175,3,3790,5,Five stars all around.,2022-10-03
176,296,12965,2,Skipped my dietary request.,2025-06-20
177,99,4490,4,"Best lunch in town, no contest.",2020-11-14
178,47,1945,3,Decent but nothing special.,2021-02-07
179,96,5773,4,Five stars all around.,2025-10-27
180,122,11782,2,Cold by the time it arrived.,2025-04-02
181,43,11868,4,Fresh ingredients and prompt service.,2024-07-16
182,14,1123,5,Five stars all around.,2020-06-14
183,164,4184,5,"Best lunch in town, no contest.",2020-07-03
184,79,4519,3,Average — would order again only if nearby.,2022-09-29
185,279,3958,4,Fresh ingredients and prompt service.,2021-06-21
186,60,4446,4,"Solid flavour, great portion size.",2021-07-03
187,298,2182,5,Absolutely loved this. Will order again.,2024-12-25
188,71,1355,2,Cold by the time it arrived.,2025-02-02
189,261,12293,5,Reliable as always — never disappoints.,2021-05-23
190,109,1277,4,Absolutely loved this. Will order again.,2025-09-20
191,196,14340,4,Five stars all around.,2021-06-19
192,113,783,4,Reliable as always — never disappoints.,2025-05-12
193,190,800,4,"Solid flavour, great portion size.",2021-04-09
194,234,14759,5,Absolutely loved this. Will order again.,2021-01-31
195,254,13006,5,"Best lunch in town, no contest.",2022-12-25
196,58,3386,4,"Solid flavour, great portion size.",2025-02-22
197,26,13814,5,Reliable as always — never disappoints.,2023-08-26
198,74,345,5,Reliable as always — never disappoints.,2023-08-26
199,49,7693,4,"Best lunch in town, no contest.",2025-12-06
200,20,775,5,Reliable as always — never disappoints.,2020-10-19
201,28,10309,3,Decent but nothing special.,2020-10-06
202,79,5605,5,Reliable as always — never disappoints.,2020-04-02
203,277,654,5,Fresh ingredients and prompt service.,2020-12-31
204,279,14306,5,Fresh ingredients and prompt service.,2023-01-16
205,14,12835,5,Fresh ingredients and prompt service.,2024-05-18
206,56,2399,5,"Best lunch in town, no contest.",2020-03-18
207,118,2798,4,"Best lunch in town, no contest.",2024-01-27
208,252,11592,5,Five stars all around.,2025-10-09
209,249,4586,4,Fresh ingredients and prompt service.,2020-11-24
210,263,8235,4,Five stars all around.,2025-12-31
211,165,4376,5,"Came with my team, everyone was happy.",2023-10-17
212,107,14707,5,"Solid flavour, great portion size.",2020-05-19
213,248,8590,4,Reliable as always — never disappoints.,2023-03-01
214,56,7624,4,Absolutely loved this. Will order again.,2021-11-01
215,182,4282,5,Absolutely loved this. Will order again.,2023-03-27
216,80,14869,4,Reliable as always — never disappoints.,2025-02-01
217,196,8778,3,"Standard fare, fairly priced.",2021-05-02
218,251,1571,4,Five stars all around.,2023-03-11
219,250,7097,4,Fresh ingredients and prompt service.,2023-08-01
220,79,4804,3,Decent but nothing special.,2023-06-23
221,147,5777,3,Fine for a quick bite.,2021-01-25
222,256,3810,5,Five stars all around.,2020-06-19
223,68,9361,4,Absolutely loved this. Will order again.,2023-05-03
224,20,4639,4,Reliable as always — never disappoints.,2021-09-12
225,241,8417,5,Absolutely loved this. Will order again.,2025-07-19
226,66,10439,3,Average — would order again only if nearby.,2024-05-21
227,14,9869,4,"Solid flavour, great portion size.",2023-12-10
228,47,12850,4,Fresh ingredients and prompt service.,2020-09-06
229,23,5143,2,Disappointing portion for the price.,2023-01-27
230,22,11892,4,Five stars all around.,2022-02-19
231,231,10400,3,"Good on most days, off-days exist.",2025-10-24
232,216,5592,5,Absolutely loved this. Will order again.,2022-11-15
233,200,1904,5,Five stars all around.,2022-12-10
234,123,10490,5,"Came with my team, everyone was happy.",2023-09-30
235,39,3842,4,"Solid flavour, great portion size.",2025-06-10
236,78,7063,4,"Came with my team, everyone was happy.",2023-10-04
237,199,8731,5,"Came with my team, everyone was happy.",2020-06-16
238,79,6158,5,Reliable as always — never disappoints.,2022-04-05
239,142,6281,3,Decent but nothing special.,2023-07-23
240,298,128,1,Cold by the time it arrived.,2021-02-24
241,263,7958,5,"Solid flavour, great portion size.",2025-01-07
242,279,1197,1,Disappointing portion for the price.,2021-07-06
243,85,7676,5,"Solid flavour, great portion size.",2023-12-29
244,260,7826,4,"Solid flavour, great portion size.",2024-12-14
245,192,12938,5,Fresh ingredients and prompt service.,2020-01-08
246,209,5723,4,Reliable as always — never disappoints.,2020-03-20
247,235,1698,4,"Best lunch in town, no contest.",2022-12-22
248,70,5803,5,"Solid flavour, great portion size.",2023-05-13
249,223,6053,5,Fresh ingredients and prompt service.,2020-04-30
250,278,4029,4,"Best lunch in town, no contest.",2025-09-01
251,141,13083,4,"Solid flavour, great portion size.",2025-10-28
252,127,12526,5,"Came with my team, everyone was happy.",2024-08-06
253,161,12568,5,Fresh ingredients and prompt service.,2023-01-21
254,266,4070,5,Five stars all around.,2021-09-08
255,70,5162,5,Reliable as always — never disappoints.,2023-10-27
256,32,7376,5,Five stars all around.,2025-08-14
257,251,11885,5,Five stars all around.,2021-12-26
258,159,10628,4,Fresh ingredients and prompt service.,2024-08-05
259,250,2275,4,"Solid flavour, great portion size.",2020-01-28
260,281,4177,3,"Good on most days, off-days exist.",2021-11-02
261,184,11144,4,"Best lunch in town, no contest.",2022-02-25
262,248,8973,4,"Solid flavour, great portion size.",2023-09-24
263,257,1778,5,Absolutely loved this. Will order again.,2025-11-08
264,297,14970,5,"Best lunch in town, no contest.",2025-07-31
265,256,1111,3,Average — would order again only if nearby.,2022-05-21
266,277,9606,5,Fresh ingredients and prompt service.,2024-06-21
267,280,9151,4,Five stars all around.,2023-09-04
268,164,5585,5,Five stars all around.,2021-06-07
269,253,5016,1,"Slow service, mediocre food.",2022-01-18
270,14,1726,3,Average — would order again only if nearby.,2023-03-15
271,267,3429,4,Fresh ingredients and prompt service.,2020-09-26
272,211,5413,2,Not what I expected from the photos.,2024-09-13
273,132,12629,3,"Standard fare, fairly priced.",2021-12-30
274,5,11896,4,"Solid flavour, great portion size.",2020-07-30
275,22,13153,5,Fresh ingredients and prompt service.,2022-02-03
276,144,6785,2,Skipped my dietary request.,2025-03-07
277,19,7542,5,"Best lunch in town, no contest.",2024-03-12
278,181,2167,4,Absolutely loved this. Will order again.,2021-03-02
279,66,12134,4,Fresh ingredients and prompt service.,2023-04-07
280,39,7957,2,Disappointing portion for the price.,2022-09-27
281,177,11000,1,Cold by the time it arrived.,2024-11-12
282,217,4432,4,"Solid flavour, great portion size.",2023-07-28
283,75,8821,4,"Came with my team, everyone was happy.",2025-06-16
284,257,11071,3,"Standard fare, fairly priced.",2024-06-13
285,241,7387,4,"Solid flavour, great portion size.",2022-12-21
286,269,7346,4,"Came with my team, everyone was happy.",2023-04-16
287,103,175,1,Cold by the time it arrived.,2024-11-20
288,17,9620,5,Reliable as always — never disappoints.,2023-07-19
289,257,2044,4,Absolutely loved this. Will order again.,2021-05-20
290,228,469,4,"Came with my team, everyone was happy.",2024-10-12
291,55,14984,3,Decent but nothing special.,2022-07-03
292,209,7335,1,Disappointing portion for the price.,2020-01-10
293,71,9257,4,Five stars all around.,2021-04-12
294,269,13481,4,"Solid flavour, great portion size.",2020-11-12
295,178,3585,5,Reliable as always — never disappoints.,2025-10-24
296,139,5111,5,"Best lunch in town, no contest.",2025-02-03
297,78,9769,5,"Came with my team, everyone was happy.",2025-05-14
298,201,1243,5,"Came with my team, everyone was happy.",2020-06-05
299,275,3954,4,"Came with my team, everyone was happy.",2025-12-15
300,146,10604,5,"Came with my team, everyone was happy.",2025-04-18
301,163,7376,5,"Came with my team, everyone was happy.",2022-09-05
302,213,4043,4,Reliable as always — never disappoints.,2022-12-17
303,104,10475,5,"Solid flavour, great portion size.",2023-02-25
304,227,6750,4,"Came with my team, everyone was happy.",2024-02-15
305,100,13253,5,"Best lunch in town, no contest.",2020-04-04
306,2,9109,3,Fine for a quick bite.,2020-05-20
307,219,4067,4,"Solid flavour, great portion size.",2024-07-05
308,6,4584,5,Absolutely loved this. Will order again.,2023-12-05
309,190,13935,3,"Good on most days, off-days exist.",2022-11-05
310,186,2406,4,Absolutely loved this. Will order again.,2024-02-15
311,37,8696,5,Absolutely loved this. Will order again.,2021-10-30
312,33,14943,1,Skipped my dietary request.,2020-10-31
313,93,6562,5,"Solid flavour, great portion size.",2020-05-12
314,47,87,5,"Came with my team, everyone was happy.",2022-10-06
315,95,228,4,"Best lunch in town, no contest.",2024-05-04
316,236,10256,2,Not what I expected from the photos.,2022-12-05
317,295,2631,5,Five stars all around.,2022-04-21
318,37,3610,5,"Came with my team, everyone was happy.",2024-06-20
319,114,5950,3,Fine for a quick bite.,2020-07-15
320,296,8792,5,Five stars all around.,2020-09-27
321,275,7104,4,Absolutely loved this. Will order again.,2020-07-27
322,276,9032,4,Fresh ingredients and prompt service.,2023-12-18
323,239,7936,5,"Came with my team, everyone was happy.",2021-06-19
324,296,8231,5,"Came with my team, everyone was happy.",2024-06-13
325,170,5418,5,Absolutely loved this. Will order again.,2022-05-04
326,190,9609,4,Reliable as always — never disappoints.,2020-03-20
327,194,10333,5,"Solid flavour, great portion size.",2024-02-29
328,253,8220,5,Reliable as always — never disappoints.,2021-09-21
329,246,5486,3,"Good on most days, off-days exist.",2024-01-14
330,294,9520,4,Fresh ingredients and prompt service.,2024-03-16
331,57,5886,3,Decent but nothing special.,2024-04-01
332,224,4603,5,Fresh ingredients and prompt service.,2025-09-03
333,72,1419,5,Reliable as always — never disappoints.,2023-01-04
334,44,13982,1,Disappointing portion for the price.,2022-05-13
335,97,6358,5,Five stars all around.,2022-10-18
336,78,77,2,Not what I expected from the photos.,2022-05-14
337,184,4830,5,"Came with my team, everyone was happy.",2020-01-08
338,55,1625,5,"Best lunch in town, no contest.",2024-06-08
339,150,2772,4,"Came with my team, everyone was happy.",2022-08-07
340,223,3250,5,Reliable as always — never disappoints.,2020-05-19
341,259,2453,3,"Good on most days, off-days exist.",2025-04-16
342,121,12375,4,Fresh ingredients and prompt service.,2024-04-01
343,254,14028,4,"Came with my team, everyone was happy.",2025-10-20
344,226,6048,4,Absolutely loved this. Will order again.,2020-02-15
345,270,11089,3,Fine for a quick bite.,2020-03-07
346,137,5808,5,Reliable as always — never disappoints.,2024-01-18
347,167,9573,1,Disappointing portion for the price.,2024-09-15
348,202,5173,5,"Best lunch in town, no contest.",2020-06-22
349,130,3255,4,Five stars all around.,2020-08-04
350,146,10338,1,Disappointing portion for the price.,2021-12-27
351,275,5488,4,"Solid flavour, great portion size.",2020-05-30
352,17,3940,5,"Solid flavour, great portion size.",2024-01-13
353,203,373,5,Absolutely loved this. Will order again.,2023-03-11
354,255,1335,5,Fresh ingredients and prompt service.,2025-08-20
355,140,3745,1,Disappointing portion for the price.,2023-06-27
356,240,10681,5,Absolutely loved this. Will order again.,2025-07-23
357,28,2576,5,"Solid flavour, great portion size.",2021-07-10
358,110,5060,5,Five stars all around.,2020-06-09
359,44,12892,5,Absolutely loved this. Will order again.,2024-12-23
360,72,2115,3,"Good on most days, off-days exist.",2020-04-15
361,115,11565,4,Fresh ingredients and prompt service.,2021-02-16
362,187,4896,3,"Good on most days, off-days exist.",2021-05-21
363,135,10182,3,Fine for a quick bite.,2021-05-01
364,22,6907,5,"Best lunch in town, no contest.",2023-06-18
365,273,3469,5,"Best lunch in town, no contest.",2020-06-14
366,191,677,3,"Standard fare, fairly priced.",2020-06-02
367,211,9284,5,"Best lunch in town, no contest.",2020-04-30
368,192,14769,5,Absolutely loved this. Will order again.,2024-06-25
369,209,4028,5,Five stars all around.,2024-11-02
370,2,13268,4,Fresh ingredients and prompt service.,2024-08-27
371,109,13224,4,Five stars all around.,2025-11-25
372,186,9559,5,"Solid flavour, great portion size.",2023-04-01
373,166,13412,4,"Best lunch in town, no contest.",2023-07-25
374,199,8033,5,Fresh ingredients and prompt service.,2020-09-08
375,211,7117,5,"Best lunch in town, no contest.",2020-10-10
376,137,9730,4,Fresh ingredients and prompt service.,2020-05-19
377,285,2792,5,"Best lunch in town, no contest.",2021-01-05
378,83,4502,5,Fresh ingredients and prompt service.,2022-02-14
379,159,6743,4,Fresh ingredients and prompt service.,2024-10-24
380,75,9294,3,Decent but nothing special.,2023-10-06
381,207,12621,4,Reliable as always — never disappoints.,2020-08-15
382,43,4909,2,Cold by the time it arrived.,2021-11-24
383,218,12269,4,Fresh ingredients and prompt service.,2020-06-30
384,87,8748,5,"Solid flavour, great portion size.",2023-05-29
385,64,8901,5,Five stars all around.,2022-10-23
386,87,6025,5,"Solid flavour, great portion size.",2024-04-12
387,278,11765,4,"Best lunch in town, no contest.",2020-04-06
388,88,4884,5,"Solid flavour, great portion size.",2025-03-06
389,270,8080,4,"Came with my team, everyone was happy.",2021-02-23
390,180,10293,4,Reliable as always — never disappoints.,2020-02-28
391,244,11445,5,Fresh ingredients and prompt service.,2024-03-13
392,127,11063,3,"Good on most days, off-days exist.",2023-01-13
393,44,12055,5,Five stars all around.,2025-11-27
394,26,6224,4,Fresh ingredients and prompt service.,2023-05-27
395,48,14727,4,"Solid flavour, great portion size.",2021-05-21
396,146,7147,3,Average — would order again only if nearby.,2020-05-16
397,186,5154,5,Reliable as always — never disappoints.,2020-08-03
398,142,7512,4,"Came with my team, everyone was happy.",2025-08-13
399,184,8423,5,Five stars all around.,2020-10-06
400,56,14798,3,Decent but nothing special.,2022-01-30
401,15,14183,5,"Came with my team, everyone was happy.",2023-04-21
402,10,7296,2,Not what I expected from the photos.,2022-02-23
403,21,10166,4,"Solid flavour, great portion size.",2023-10-02
404,87,2887,5,Reliable as always — never disappoints.,2023-03-20
405,165,8403,5,"Best lunch in town, no contest.",2020-10-06
406,37,7302,4,Reliable as always — never disappoints.,2020-02-19
407,250,4420,5,"Came with my team, everyone was happy.",2022-05-23
408,142,13195,2,Skipped my dietary request.,2022-04-29
409,186,7820,5,"Best lunch in town, no contest.",2022-10-27
410,156,4011,4,Absolutely loved this. Will order again.,2025-05-22
411,270,1217,1,Disappointing portion for the price.,2022-01-30
412,202,9090,3,Average — would order again only if nearby.,2023-01-02
413,102,11533,1,Disappointing portion for the price.,2024-10-24
414,118,14209,4,"Solid flavour, great portion size.",2023-03-23
415,168,5900,5,Fresh ingredients and prompt service.,2023-11-05
416,215,7607,5,"Came with my team, everyone was happy.",2023-01-24
417,27,3664,5,Absolutely loved this. Will order again.,2025-09-11
418,274,11570,5,Reliable as always — never disappoints.,2023-12-14
419,188,13648,5,"Came with my team, everyone was happy.",2022-03-31
420,50,2957,3,Average — would order again only if nearby.,2021-11-07
421,286,9913,5,"Best lunch in town, no contest.",2025-11-08
422,155,4531,4,"Came with my team, everyone was happy.",2020-03-09
423,164,7218,4,Reliable as always — never disappoints.,2022-04-24
424,228,12243,2,Disappointing portion for the price.,2020-12-25
425,209,5237,3,Average — would order again only if nearby.,2022-05-18
426,48,3126,1,Not what I expected from the photos.,2025-03-03
427,300,13373,5,Reliable as always — never disappoints.,2022-01-18
428,18,1827,5,"Solid flavour, great portion size.",2023-01-24
429,111,2221,5,"Best lunch in town, no contest.",2021-04-19
430,268,12740,1,"Slow service, mediocre food.",2023-07-24
431,168,12262,4,Fresh ingredients and prompt service.,2020-06-28
432,46,4197,5,"Solid flavour, great portion size.",2025-02-10
433,277,6988,4,Reliable as always — never disappoints.,2020-06-10
434,12,9844,5,"Solid flavour, great portion size.",2023-04-07
435,161,12202,5,Fresh ingredients and prompt service.,2023-03-17
436,19,6918,4,Fresh ingredients and prompt service.,2025-11-21
437,73,14081,3,"Standard fare, fairly priced.",2023-12-20
438,152,6716,5,"Best lunch in town, no contest.",2023-11-21
439,135,8404,2,Skipped my dietary request.,2020-04-12
440,98,3772,4,Absolutely loved this. Will order again.,2022-06-16
441,150,891,3,Fine for a quick bite.,2023-12-21
442,100,7912,4,"Solid flavour, great portion size.",2020-01-09
443,220,12458,5,Absolutely loved this. Will order again.,2020-09-27
444,241,5148,5,Reliable as always — never disappoints.,2024-03-22
445,142,13019,3,Average — would order again only if nearby.,2020-09-08
446,260,121,5,Reliable as always — never disappoints.,2020-07-10
447,273,2102,5,"Solid flavour, great portion size.",2024-12-19
448,233,11885,3,"Good on most days, off-days exist.",2024-07-19
449,99,3471,2,Not what I expected from the photos.,2022-04-08
450,104,1514,4,Reliable as always — never disappoints.,2025-06-13
451,273,5623,5,"Came with my team, everyone was happy.",2023-06-04
452,185,9741,2,Disappointing portion for the price.,2022-06-21
453,146,5236,5,Reliable as always — never disappoints.,2025-08-04
454,45,1131,5,Five stars all around.,2022-02-26
455,99,9976,4,"Solid flavour, great portion size.",2020-02-17
456,60,8614,3,Decent but nothing special.,2021-06-21
457,133,6016,5,Absolutely loved this. Will order again.,2021-03-03
458,280,8105,5,Fresh ingredients and prompt service.,2024-03-08
459,145,9382,3,Fine for a quick bite.,2025-04-16
460,138,2808,4,"Best lunch in town, no contest.",2023-12-29
461,274,8997,5,"Solid flavour, great portion size.",2025-01-12
462,67,4318,3,Fine for a quick bite.,2024-09-23
463,65,1027,5,Fresh ingredients and prompt service.,2024-08-16
464,206,10775,4,"Came with my team, everyone was happy.",2020-06-09
465,55,4695,3,Average — would order again only if nearby.,2025-05-21
466,295,7940,5,"Came with my team, everyone was happy.",2024-02-24
467,251,1967,5,"Best lunch in town, no contest.",2020-02-17
468,258,568,5,Reliable as always — never disappoints.,2022-05-20
469,299,14928,5,Absolutely loved this. Will order again.,2021-12-06
470,285,13132,5,Five stars all around.,2020-06-07
471,167,9849,4,"Solid flavour, great portion size.",2022-05-26
472,103,2018,4,Fresh ingredients and prompt service.,2024-07-31
473,195,70,4,Reliable as always — never disappoints.,2025-05-28
474,115,1365,3,"Standard fare, fairly priced.",2023-11-28
475,191,6978,5,Reliable as always — never disappoints.,2024-05-14
476,259,8484,5,"Solid flavour, great portion size.",2023-07-18
477,126,14719,5,Fresh ingredients and prompt service.,2025-11-08
478,123,1256,5,Reliable as always — never disappoints.,2020-10-02
479,278,11254,3,"Good on most days, off-days exist.",2023-11-11
